登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E00001,1,4,acquire,動詞,獲得する、身につける,to get or obtain something,She acquired a good command of English while working abroad.,彼女は海外勤務中に英語を使いこなす力を身につけた。,ac-（～へ）＋ quire（求める）。get より硬い言い方で、書き言葉でよく使う。
E00002,1,3,maintain,動詞,維持する、保つ,to keep something in the same state,We need to maintain the current quality level.,現在の品質水準を保つ必要がある。,main（手 manus）＋ tain（保つ）＝「手で持ち続ける」。
E00002,2,3,maintain,動詞,主張する,to say firmly that something is true,He maintained that he had done nothing wrong.,彼は何も悪いことはしていないと言い張った。,「（自分の説を）保ち続ける」から「主張する」の意味が出る。
E00003,1,2,reduce,動詞,減らす、下げる,to make something smaller in size or amount,The new system reduced the working time by 30 percent.,新しい仕組みで作業時間が3割減った。,re-（後ろへ）＋ duce（導く）。increase の反対。
E00004,1,3,require,動詞,必要とする、求める,to need something,This task requires careful checking.,この作業には入念な確認が必要だ。,need より硬い。規則・仕様の文章に多い。
E00005,1,3,available,形容詞,利用できる、手が空いている,able to be used or obtained,The report will be available tomorrow morning.,報告書は明日の朝に出せます。,人にも使える。「Are you available at 3?」＝3時は空いていますか。
E00006,1,3,issue,名詞,問題、課題,an important topic or problem,We found three issues in the test.,テストで3件の問題が見つかった。,problem より中立的で、仕事の場面ではこちらが好まれる。
E00006,2,3,issue,動詞,発行する、出す,to officially give or produce something,The office issued a new ID card.,事務所が新しい身分証を発行した。,「外へ出す」が中心の意味。
E00007,1,4,determine,動詞,決定する、突き止める,to decide or find out exactly,We could not determine the cause of the error.,エラーの原因を突き止められなかった。,de-（下へ）＋ termine（境界）＝「境目をはっきりさせる」。
E00008,1,4,significant,形容詞,重要な、著しい,large enough to be noticed or important,There was a significant drop in errors.,エラーが著しく減った。,important（大事）と違い「数字として目立つ」ときにも使う。
E00009,1,5,implement,動詞,実行する、実装する,to put a plan or system into action,We implemented the change last Friday.,先週の金曜にその変更を反映した。,名詞では「道具」。IT では「実装する」で通る。
E00010,1,3,consider,動詞,よく考える、みなす,to think about carefully,Please consider the risk before you decide.,決める前にリスクをよく考えてください。,consider A as B ではなく consider A B の形が正しい。
E00011,1,4,establish,動詞,設立する、確立する,to start something that will last,The company was established in 1985.,その会社は1985年に設立された。,stable（安定した）と同じ語源。「据えて動かなくする」。
